,LATITUDE,LONGITUDE,API,BASIN,COUNTY,WELLNAME,WELLTYPE,DATECOMP,DATESAMPLE,FORMATION,PERIOD,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,SPGRAV,PH,TDSUSGS,HCO3,Ca,Cl,KNa,Mg,Na,SO4,H2S,cull_chargeb
29,31.21,-101.04,,Permian,Irion,,Tight Oil,,2014-03-28,Wolfcamp Shale,Permian (Wolfcampian),,,,1.069,7.28,114000,,3350,67700,,551,39300,730,,
30,31.26,-101.07,,Permian,Irion,,Tight Oil,,2014-03-28,Wolfcamp Shale,Permian (Wolfcampian),6325,,,1.074,7.61,116000,,2220,70600,,364,41500,498,,
31,31.26,-101.06,,Permian,Irion,,Tight Oil,,2014-03-28,Wolfcamp Shale,Permian (Wolfcampian),6470,,,1.065,7.72,105000,,1720,62900,,351,37700,361,,
32,31.26,-101.06,,Permian,Irion,,Conventional Hydrocarbon,,2014-03-28,Multiple Reservoirs,Paleozoic,,,,1.081,7.19,128000,,3780,75700,,541,43100,706,,
33,31.26,-101.06,,Permian,Irion,,Conventional Hydrocarbon,,2014-03-28,Multiple Reservoirs,Paleozoic,,,,1.077,7.21,123000,,3630,73600,,517,42600,584,,
24,31.25,-101.1,,Permian,Irion,,Tight Oil,,2014-03-27,Cline Shale,Pennsylvanian,6749,,,1.11,7.39,163000,,8010,97600,,1050,50000,<300,,
25,31.25,-101.11,,Permian,Irion,,Tight Oil,,2014-03-27,Wolfcamp Shale,Permian (Wolfcampian),7096,,,1.093,6.98,143000,,6250,84900,,849,46200,905,,
26,31.25,-101.03,,Permian,Irion,,Tight Oil,,2014-03-27,Wolfcamp Shale,Permian (Wolfcampian),6207,,,1.068,7.61,107000,,1440,63500,,346,39000,348,,
27,31.26,-101.07,,Permian,Irion,,Tight Oil,,2014-03-27,Wolfcamp Shale,Permian (Wolfcampian),6742,,,1.073,7.23,115000,,2280,68500,,370,41700,613,,
28,31.26,-101.07,,Permian,Irion,,Tight Oil,,2014-03-27,Wolfcamp Shale,Permian (Wolfcampian),6490,,,1.068,7.66,119000,,2460,71400,,389,42400,598,,
19,32,-102.39,,Permian,Ector,,Conventional Hydrocarbon,,2014-02-14,Otoka/Barnett Shale,Mississippian - Pennsylvanian,10906,,,1.039,7.05,57200,,1730,31200,,274,18200,1050,,
20,31.98,-102.39,,Permian,Ector,,Conventional Hydrocarbon,,2014-02-14,"Strawn, Atoka, Mississipain Lime, Spraberry","Permian (Leonardian), Pennsylvanian, Mississippian",,,,1.088,7.11,143000,,5740,79600,,1110,44000,965,,
21,31.98,-102.39,,Permian,Ector,,Conventional Hydrocarbon,,2014-02-14,"Strawn, Atoka, Spraberry","Permian (Leonardian), Pennsylvanian, Mississippian",,,,1.108,7.58,160000,,5490,96000,,1310,54600,1180,,
22,31.99,-102.38,,Permian,Ector,,Conventional Hydrocarbon,,2014-02-14,"Strawn, Atoka, Spraberry","Permian (Leonardian), Pennsylvanian, Mississippian",,,,1.073,7.18,108000,,3560,62900,,689,36700,1790,,
23,31.99,-102.39,,Permian,Ector,,Conventional Hydrocarbon,,2014-02-14,"Strawn, Atoka, Mississipain Lime, Spraberry","Permian (Leonardian), Pennsylvanian, Mississippian",,,,1.064,8,98900,,3150,58900,,583,34700,1210,,
12,32.06,-101.61,,Permian,Glasscock,,Conventional Hydrocarbon,,2014-02-13,"Spraberry, Strawn, Fusselman","Permian (Leonardian), Pennsylvanian, Silurian",,,,1.078,7.96,117000,,3690,65100,,822,37800,1600,,
13,32.07,-101.63,,Permian,Glasscock,,Conventional Hydrocarbon,,2014-02-13,"Spraberry, Strawn, Fusselman","Permian (Leonardian), Pennsylvanian, Silurian",,,,1.063,7.76,98400,,2940,55600,,541,31400,<300,,
14,32.08,-101.64,,Permian,Glasscock,,Conventional Hydrocarbon,,2014-02-13,"Spraberry, Strawn, Fusselman","Permian (Leonardian), Pennsylvanian, Silurian",,,,1.073,7.58,114000,,4550,63900,,815,34500,<300,,
15,31.98,-101.46,,Permian,Glasscock,,Tight Oil,,2014-02-13,Cline Shale,Pennsylvanian,9324,,,1.027,7.72,40700,,659,22000,,84.7,13600,<300,,
16,31.98,-101.46,,Permian,Glasscock,,Tight Oil,,2014-02-13,Cline Shale,Pennsylvanian,9324,,,1.028,7.09,41400,,687,22400,,88.7,13700,<300,,
17,31.92,-101.47,,Permian,Glasscock,,Tight Oil,,2014-02-13,Cline Shale,Pennsylvanian,9324,,,1.019,7.68,36100,,649,19700,,94.3,12400,<300,,
18,31.9,-101.48,,Permian,Glasscock,,Tight Oil,,2014-02-13,Cline Shale,Pennsylvanian,9423,,,1.065,7.7,99300,,3360,54900,,430,30600,<300,,
6,31.49,-101.64,,Permian,Reagan,,Conventional Hydrocarbon,,2014-01-24,Spraberry,Permian (Leonardian),9249,,,1.097,7.56,138000,,1440,82400,,370,47400,<300,,
7,31.48,-101.65,,Permian,Reagan,,Conventional Hydrocarbon,,2014-01-24,Spraberry,Permian (Leonardian),6831,,,1.101,7.12,139000,,1470,83300,,345,48100,<300,,
